8524.0, 1
11648.0, 1
14772.0, 1
17896.0, 6
21020.0, 4
24144.0, 25
27268.0, 28
30392.0, 64
33516.0, 75
36640.0, 78
39764.0, 101
42888.0, 113
46012.0, 71
49136.0, 87
52260.0, 65
55384.0, 69
58508.0, 75
61632.0, 65
64756.0, 76
67880.0, 69
71004.0, 58
74128.0, 38
77252.0, 48
80376.0, 55
83500.0, 49
86624.0, 42
89748.0, 42
92872.0, 51
95996.0, 45
99120.0, 80
102244.0, 54
105368.0, 66
108492.0, 63
111616.0, 67
114740.0, 84
117864.0, 72
120988.0, 79
124112.0, 72
127236.0, 98
130360.0, 96
133484.0, 73
136608.0, 70
139732.0, 63
142856.0, 55
145980.0, 58
149104.0, 55
152228.0, 62
155352.0, 56
158476.0, 53
161600.0, 47
164724.0, 57
167848.0, 61
170972.0, 50
174096.0, 50
177220.0, 47
180344.0, 38
183468.0, 38
186592.0, 42
189716.0, 23
192840.0, 34
195964.0, 44
199088.0, 20
202212.0, 29
205336.0, 32
208460.0, 27
211584.0, 20
214708.0, 22
217832.0, 31
220956.0, 11
224080.0, 21
227204.0, 20
230328.0, 11
233452.0, 24
236576.0, 15
239700.0, 16
242824.0, 7
245948.0, 15
249072.0, 14
252196.0, 7
255320.0, 23
258444.0, 0
